query_text,new_query_text,baseline_ndcg,new_ndcg,clarity,label,length,ndcg_improvmt%
amount of creatine per day,amount of creatine per day creatine monohydrate dosage daily recommended intake,0.0000,0.0000,clear,numeric,4,+0.00%
amount of fiber\suggested per day,amount of fiber\suggested per day daily fiber intake recommendation grams,0.0000,0.0000,clear,numeric,5,+0.00%
amount of time for a giraffe to give birth,amount of time for a giraffe to give birth gestation period labor duration parturition,0.2277,0.2702,clear,numeric,7,+18.70%
anaconda plan  definition,anaconda plan  definition Civil War strategy Winfield Scott blockade,0.5000,1.0000,clear,description,3,+100.00%
androgen excess symptoms,androgen excess symptoms hyperandrogenism signs hirsutism acne virilization,0.0000,0.1086,clear,description,3,+10.86%
angle angle side definition,angle angle side definition congruence theorem triangle geometry,0.0000,0.0000,clear,description,4,+0.00%
another name for common innominate artery,another name for common innominate artery brachiocephalic trunk brachiocephalic artery,0.2447,0.0000,clear,entity,5,-100.00%
another term for starting period,another term for starting period initial phase commencement term,0.0000,0.0000,clear,description,5,+0.00%
ans define heart medical,ans define heart medical cardiac definition medical term,0.0000,0.0000,ambiguous,description,4,+0.00%
antioxidant benefits,antioxidant benefits antioxidant health benefits oxidative stress free radicals,0.0000,0.0000,ambiguous,description,2,+0.00%
antv jakarta,antv jakarta ANTV TV station Jakarta Indonesia,0.0000,0.0000,ambiguous,location,2,+0.00%
anytime bail,anytime bail bail bonds 24/7 bail services,1.0000,0.4307,ambiguous,description,2,-56.93%
arabic ahmad definition,arabic ahmad definition Arabic language Ahmad meaning,0.6309,0.6309,ambiguous,description,3,+0.00%
are beneficiary trusts taxable,are beneficiary trusts taxable beneficiary trust taxation trust income tax liability,0.0000,0.0000,clear,description,4,+0.00%
are campfires bad for your health,are campfires bad for your health campfire smoke health risks respiratory effects,0.0000,0.6309,clear,description,6,+63.09%
are cherries digestive,are cherries digestive cherries digestion digestive health,0.1843,0.1854,ambiguous,description,3,+0.63%
are door hangers effective campaign tools,are door hangers effective campaign tools direct mail marketing political canvassing voter outreach,1.0000,0.0000,clear,description,6,-100.00%
are figs good for constipation,are figs good for constipation dietary fiber laxative effect digestive health,0.0000,0.0000,clear,description,5,+0.00%
are grains a source of protein,are grains a source of protein grains protein content plant-based protein,0.0000,0.0000,clear,description,6,+0.00%
are hydraulic shocks better than gas,are hydraulic shocks better than gas hydraulic shock absorbers gas charged comparison performance,0.1982,0.3010,clear,description,5,+51.85%
are lawyer fees tax deductible,are lawyer fees tax deductible legal fees deduction IRS Schedule A,1.0000,0.0000,clear,description,4,-100.00%
are muscles made of protein,are muscles made of protein muscle tissue amino acids structural protein,0.0000,0.0000,clear,description,4,+0.00%
are natural gas leaks harmful to humans,are natural gas leaks harmful to humans methane exposure health risks asphyxiation,0.2103,0.0000,clear,description,6,-100.00%
are original loan docs required to be kept,are original loan docs required to be kept original loan documents retention requirements,0.0000,0.0000,clear,description,7,+0.00%
are paper documents  needed for payroll records,are paper documents  needed for payroll records digital records electronic records recordkeeping requirements,0.0000,0.2277,clear,description,6,+22.77%
are peas a carbohydrate,are peas a carbohydrate peas carbohydrate content legume starch,0.0000,0.0000,clear,description,4,+0.00%
are physicians required to sign joinder clause,are physicians required to sign joinder clause joinder clause physician contract mandatory signature,0.0000,0.0000,clear,description,6,+0.00%
are strapless wedding dresses out of style,are strapless wedding dresses out of style strapless bridal gowns trend 2024 2025,0.0000,0.0000,clear,description,6,+0.00%
are the stock markets open,are the stock markets open stock market hours trading schedule,0.5000,0.0000,clear,description,5,-100.00%
are there restrictions on how much cash you can deposit,are there restrictions on how much cash you can deposit deposit limits cash transaction reporting currency transaction report,0.0000,0.0000,clear,numeric,8,+0.00%
are vasectomies 100%,are vasectomies 100% vasectomy failure rate effectiveness permanent contraception,0.0000,0.0000,clear,numeric,3,+0.00%
are vitamins necessary for good health,are vitamins necessary for good health essential nutrients dietary supplements micronutrient deficiency,0.0000,0.0000,clear,description,5,+0.00%
artists who sings hallelujah,artists who sings hallelujah Leonard Cohen Jeff Buckley Rufus Wainwright,0.0000,0.0000,ambiguous,person,4,+0.00%
"ashland, ma population","ashland, ma population Ashland Massachusetts demographics census data",0.0000,0.0000,clear,numeric,3,+0.00%
